Municipality;Station ID;x-Koordinate;y-Koordinate;Zelle_x;Zelle_y;Mean_2013-2023 [m asl.];sim-obs;sim-int;int-obs
EX_Bad_Krozingen;0101/071-4 - LUBW;402439;5305371;122;410;246.09;21.74134246560621;22.85834319802808;-1.1170007324218716
EX_Bad_Krozingen;0118/020-6 - LUBW;399181;5311941;56;279;193.02;-6.878190854390141;1.7548090235395364;-8.632999877929677
EX_Bad_Krozingen;0159/070-6 - LUBW;403662;5307069;146;376;236.93;11.708737492380635;18.056737370310316;-6.347999877929681
EX_Bad_Krozingen;0130/070-4 - LUBW;400668;5309056;86;337;200.43;-7.650001831054681;0.2480010986328125;-7.898002929687493
EX_Breisach_am_Rhein;0011/070-8 - LUBW;400797;5314359;89;231;192.49;-5.799993286132803;0.3719940185546875;-6.171987304687491
EX_Breisach_am_Rhein;0247/020-6 - LUBW;397866;5313214;30;254;193.25;-1.3374837733344123;2.3945108555718377;-3.73199462890625
EX_Breisach_am_Rhein;0106/020-1 - LUBW;397828;5315182;29;214;191.97;2.228767065768892;5.090767798190768;-2.862000732421876
EX_Breisach_am_Rhein;PH 007 - Badenova;398831;5314403;49;230;192.18;-2.4013423818445574;3.657671290030436;-6.059013671874993
EX_Ehrenkirchen;0160/070-0 - LUBW;405428;5306537;181;387;245.08;;;-5.9280108642578
EX_Ehrenkirchen;0118/070-0 - LUBW;404821;5310255;169;313;213.33;-9.937916202459064;1.1550879479315483;-11.093004150390612
EX_Eichstetten;0100/071-0 - LUBW;400664;5305133;86;415;225.47;-2.0445728681034723;4.001418342834029;-6.045991210937501
EX_Freiburg_im_Breisgau;2279/070-0 - Stadt Freiburg;409120;5315620;255;205;226.57;;;-3.6520001220703193
EX_Freiburg_im_Breisgau;2176/069-8 - Stadt Freiburg;411040;5319920;294;119;223.17;;;-2.45400817871095
EX_Freiburg_im_Breisgau;2170/069-5 - Stadt Freiburg;410540;5318720;284;143;227.56;;;-2.2590002441406227
EX_Freiburg_im_Breisgau;2142/070-6 - Stadt Freiburg;409940;5315000;272;218;232.08;;;-4.789003295898425
EX_Freiburg_im_Breisgau;2250/069-0 - Stadt Freiburg;411640;5318400;306;150;233.58;;;-5.7790087890624875
EX_Freiburg_im_Breisgau;0107/120-0 - Stadt Freiburg;418400;5315360;441;211;314.16;;;-6.7210119628906
EX_Freiburg_im_Breisgau;2215/069-1 - Stadt Freiburg;410120;5322160;275;75;206.8;;;-0.6160003662109261
EX_Freiburg_im_Breisgau;2215/119-8 - Stadt Freiburg;414020;5321320;353;91;219.57;;;-2.7109906005859443
EX_Freiburg_im_Breisgau;2070/069-8 - Stadt Freiburg;405040;5317540;174;167;202.35;;;-1.2940124511718807
EX_Freiburg_im_Breisgau;2192/070-8 - Stadt Freiburg;410680;5315460;286;209;237.24;;;-6.412999877929678
EX_Freiburg_im_Breisgau;2117/120-0 - Stadt Freiburg;415160;5315640;376;205;280.54;;;-5.1130151367187295
EX_Freiburg_im_Breisgau;2219/119-0 - Stadt Freiburg;412980;5320000;332;118;228.37;;;-4.006998901367183
EX_Freiburg_im_Breisgau;2297/069-3 - Stadt Freiburg;410840;5320560;290;107;219.23;;;-0.21000244140626023
EX_Freiburg_im_Breisgau;2047/120-2 - Stadt Freiburg;414480;5315160;362;215;273.22;;;-5.390992431640598
EX_Freiburg_im_Breisgau;0926/120-3 - Stadt Freiburg;417280;5315500;418;208;302.35;;;-7.013006591796852
EX_Freiburg_im_Breisgau;0324/069-3 - Stadt Freiburg;407760;5318220;228;153;213.31;;;-1.2700018310546852
EX_Freiburg_im_Breisgau;0347/069-2 - Stadt Freiburg;408560;5317360;244;171;220.81;;;-1.5040106201171852
EX_Freiburg_im_Breisgau;2117/119-1 - Stadt Freiburg;413160;5317040;336;177;251.78;;;-10.123015136718749
EX_Freiburg_im_Breisgau;0106/120-5 - Stadt Freiburg;418840;5315180;450;214;319.36;;;-8.965988769531236
EX_Freiburg_im_Breisgau;0016/120-1 - Stadt Freiburg;413500;5316680;343;184;256.99;;;-10.576986083984366
EX_Hartheim_am_Rhein;0121/020-0 - LUBW;398205;5310449;37;309;193.88;-5.109690880766749;5.019311804780131;-10.12900268554688
EX_Hartheim_am_Rhein;2037/020-1 - LUBW;396635;5312263;6;273;192.55;2.457568753533195;2.4275730259941213;0.02999572753907387
EX_Kirchzarten;PE 20 - Badenova;419674;5314457;466;229;332.99;;;-8.701986083984366
EX_Kirchzarten;PE 33 - Badenova;420807;5313859;489;241;353.06;;;-7.826993408203123
EX_Kirchzarten;PE 06 - Badenova;420570;5314782;484;222;337.01;;;-14.534006347656259
EX_Schallstadt;0113/070-7 - LUBW;404284;5313033;159;257;215.54;-3.609993896484383;0.4170074462890625;-4.0270013427734455
EX_Staufen_im_Breisgau;0113/071-9 - LUBW;403954;5304518;152;428;267.05;;;-1.7310058593749886
EX_Stegen;PE 39 - Badenova;420740;5315389;488;210;337.42;;;-15.318006591796859
